,index,0000000006dd41f6,000000000f4919c9,0000000019fb59c4,00000000342570c2,0000000038bf9618,0000000038d83d41,0000000053c6c2be,00000000675d5200,000000006b087f40,000000006b44cce7,000000007b5207b6,0000000096918cfa,00000000a53ed894,00000000aa852af1,00000000afef4555,00000000d747f075,00000000e8a064a4,00000000f1124bca,00000000fb7600be,00000000fdda10fe,00000000fffb8cf0
000000006b44cce7,-0.12538442975574357,0.26390235289121305,0.28697384330285575,0.2260648125226117,0.7344022896084809,0.43405352737120073,0.915369506242069,0.4451251743861201,0.13075046214065167,0.5233324497477844,0.9999999999999999,0.14721513119949295,0.008574157820401107,0.24416956950254434,0.7440548840952613,-0.04865890856021214,0.3805193876233671,0.007525292136552167,0.6200218490940274,0.21946828112585748,-0.1057463475080884,0.2870791994424048
000000007b5207b6,0.18319842353371352,0.2627813186097903,0.6856846803834742,0.2711305141515028,0.10365016335070801,-0.19340731411841386,0.08173490604290332,-0.36547837379617837,0.9438588969164673,0.5828075251537871,0.14721513119949292,0.9999999999999999,-0.1482662319745752,0.1640557385536708,0.37953422688662664,0.32337168447005316,-0.2733466387909811,0.024931848836333845,-0.17477544903528544,-0.08471481608703185,0.517230843692856,-0.2571765455709737
0000000096918cfa,0.17228126728502316,-0.017965392851259,-0.25456381658365645,-0.014978142292994436,-0.14697941585229518,-0.012578800578420693,-0.07826880891864593,-0.021314487580443083,-0.04930297261073878,-0.1771868391647532,0.008574157820401107,-0.1482662319745752,1.0,-0.1289247707157512,-0.18576077870904836,-0.1991866908977151,0.06740410129423217,-0.07633186682724948,-0.08205879866587817,-0.08233784578055411,-0.2724386977089094,0.018888603023020728
00000000a53ed894,-0.012627993527198273,0.527777319281314,0.16020832898687928,0.11145018592967845,0.3404879830655336,-0.008451175144111303,0.3004281431542872,0.2866197501161926,0.1840275097015599,0.09722623308500113,0.24416956950254434,0.16405573855367084,-0.1289247707157512,1.0,0.17197480173961502,0.07628394233537897,0.29249756973912194,0.1977368346506182,0.1455427034975251,0.1873323038443086,-0.054605566364842144,0.1779086236260105
00000000aa852af1,-0.1368908655292076,0.23159565786545186,0.5748034395599501,0.23537194133525768,0.7373849004966471,0.28696774938763175,0.6972563663962534,0.0711949938759433,0.36915808237577036,0.7798791317010532,0.7440548840952613,0.37953422688662664,-0.18576077870904834,0.17197480173961502,1.0,0.0019824321610612777,-0.01673197342719042,-0.0019212613038840165,0.5099140120895941,-0.02123100036147339,0.22063361311194027,-0.09759721841055435
00000000afef4555,0.06905782565193229,-0.12601302422053118,0.2221097571136845,0.35815161326629125,-0.014876187516569337,0.04815925439601925,-0.07481299376895104,-0.03554169947688791,0.28990607581223343,0.08158444474346722,-0.04865890856021215,0.3233716844700532,-0.19918669089771507,0.07628394233537897,0.0019824321610612777,1.0,0.009324290623519556,0.1980196110776325,0.04164766530855257,0.6188708430221512,0.7281404782272882,0.4532430559350465
00000000d747f075,-0.1726167815900334,0.1442568985573357,-0.29259177842887846,0.15140526069843604,0.1661176933796255,0.19547800659384004,0.3689641094232031,0.8871674173316202,-0.28136462273353186,-0.3466238962995645,0.3805193876233671,-0.2733466387909811,0.06740410129423217,0.29249756973912194,-0.01673197342719042,0.009324290623519556,1.0,0.0031149527713068316,0.4012941710880712,0.4496411229434103,-0.5118402587012246,0.565696038450859
00000000e8a064a4,0.14296784160501144,0.2421973293637174,-0.04414685117732667,0.11248136663214744,0.07124863456153553,0.07012816018023789,-0.04339452385528741,0.009916940156285093,0.012161978298554818,0.01375573532607023,0.007525292136552167,0.02493184883633385,-0.07633186682724948,0.1977368346506182,-0.0019212613038840165,0.1980196110776325,0.0031149527713068316,1.0,-0.08872945717242083,0.2840738554949769,0.12173964548543582,0.08419679745857662
00000000f1124bca,-0.1283251703466493,-0.03829857428986846,0.050959320067210725,0.1449408301346296,0.6312380799332188,0.5775071430902534,0.7036346894782619,0.51566690412822,-0.14008377870257904,0.15205061444616721,0.6200218490940275,-0.17477544903528544,-0.08205879866587817,0.1455427034975251,0.5099140120895941,0.04164766530855257,0.4012941710880712,-0.08872945717242083,1.0,0.3914441676427449,-0.16045962595364835,0.4273227551757241
00000000fb7600be,0.01699991859689136,-0.05282476407246243,-0.047153954358298056,0.21189009957259694,0.2931087409655747,0.32780144049387133,0.24401775857814156,0.47289988626170776,-0.1004445755370578,-0.18486235713177498,0.21946828112585748,-0.08471481608703185,-0.0823378457805541,0.1873323038443086,-0.02123100036147339,0.6188708430221512,0.4496411229434103,0.2840738554949769,0.3914441676427449,1.0,0.16408032891340235,0.6689420235959357
00000000fdda10fe,0.13051907878037933,-0.16340437884801667,0.5382791728043367,0.23130531382924446,0.025830597389837742,-0.10615026254831628,-0.16349786191908927,-0.526780530200516,0.5158323529115313,0.44609240901936315,-0.1057463475080884,0.5172308436928561,-0.2724386977089094,-0.05460556636484215,0.2206336131119403,0.7281404782272882,-0.5118402587012246,0.12173964548543582,-0.16045962595364838,0.16408032891340235,1.0,-0.08211254121441025
00000000fffb8cf0,-0.1741352219470019,-0.14450057016437776,-0.265772774296728,0.25686322190256206,0.08945435698995287,0.3757946510699988,0.3114305927557744,0.5863868990828088,-0.27970103277799346,-0.36517282674372104,0.28707919944240484,-0.25717654557097375,0.018888603023020725,0.1779086236260105,-0.09759721841055435,0.4532430559350465,0.565696038450859,0.08419679745857661,0.4273227551757241,0.6689420235959357,-0.08211254121441025,1.0
